City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Nemuro,JP,2022-05-07 18:51:28,43.3236,145.575,45.82,99,100,26.51
164,Oktyabrskiy,RU,2022-05-07 18:51:28,54.4815,53.471,45.88,57,5,3.29
165,Eureka,US,2022-05-07 18:51:29,40.8021,-124.1637,53.92,71,43,7.0
166,Mugango,TZ,2022-05-07 18:51:29,-1.6833,33.7,68.45,88,59,4.56
167,Constitucion,CL,2022-05-07 18:51:30,-35.3333,-72.4167,63.75,57,0,8.97
168,Port Hardy,CA,2022-05-07 18:51:30,50.6996,-127.4199,51.98,58,75,11.5
169,Alofi,NU,2022-05-07 18:51:31,-19.0595,-169.9187,75.09,94,91,10.36
170,Saint-Pierre,RE,2022-05-07 18:51:32,-21.3393,55.4781,71.91,83,0,5.75
171,Ust-Shonosha,RU,2022-05-07 18:51:32,61.1531,41.343,50.49,79,47,10.71
172,Sakaraha,MG,2022-05-07 18:51:33,-22.9,44.5333,70.2,75,29,5.14
173,Pevek,RU,2022-05-07 18:51:33,69.7008,170.3133,24.46,92,100,5.55
174,Moranbah,AU,2022-05-07 18:51:34,-22.0016,148.0466,62.62,73,100,17.54
175,Podgornoye,RU,2022-05-07 18:51:35,51.735,39.1496,46.62,49,0,2.24
176,Bharatpur,IN,2022-05-07 18:51:35,27.2167,77.4833,89.24,18,0,6.71
177,Beringovskiy,RU,2022-05-07 18:51:35,63.05,179.3167,30.76,88,99,6.29
178,Bubaque,GW,2022-05-07 18:48:46,11.2833,-15.8333,77.7,76,4,16.46
179,Naze,JP,2022-05-07 18:51:36,28.3667,129.4833,70.72,83,100,5.46
180,Port Elizabeth,ZA,2022-05-07 18:51:36,-33.918,25.5701,62.89,78,75,6.91
181,Esmeraldas,BR,2022-05-07 18:51:37,-19.7625,-44.3139,82.51,52,0,3.65
182,Touros,BR,2022-05-07 18:51:37,-5.1989,-35.4608,76.35,86,100,13.15
183,Muncar,ID,2022-05-07 18:51:38,-8.4333,114.3333,77.52,91,50,1.28
184,Ostrovnoy,RU,2022-05-07 18:51:39,68.0531,39.5131,38.98,100,100,14.18
185,Surt,LY,2022-05-07 18:51:39,31.2089,16.5887,65.7,68,0,12.93
186,Kruisfontein,ZA,2022-05-07 18:51:39,-34.0033,24.7314,56.88,83,100,4.74
